,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive,3PAr,FTr,TS%
187,1982-83,22.0,TOT,NBA,PG,76.0,1248.0,13.8,4.8,7.3,6.0,15.3,2.1,0.8,14.9,22.4,1.0,1.1,2.2,0.083,-0.6,-0.3,-0.9,0.3,Sleepy Floyd,0,0.047,0.342,0.505
188,1982-83,22.0,SDC,NBA,C,78.0,1274.0,10.4,9.2,15.6,12.2,12.1,2.1,1.2,16.8,16.9,-0.3,0.8,0.5,0.017,-2.1,-0.5,-2.6,-0.2,Richard Anderson,0,0.044000000000000004,0.16,0.43700000000000006
189,1982-83,22.0,TOT,NBA,PF,77.0,1222.0,10.9,8.4,13.7,11.1,6.4,1.0,1.0,14.7,17.8,0.6,1.1,1.7,0.066,-2.5,-0.9,-3.5,-0.4,Russ Schoene,0,0.009000000000000001,0.191,0.505
190,1982-83,22.0,CLE,NBA,PG,68.0,990.0,11.7,1.9,9.3,5.5,25.5,2.7,0.3,22.4,22.4,-1.1,0.8,-0.2,-0.011000000000000001,-2.3,-0.4,-2.7,-0.2,John Bagley,0,0.038,0.225,0.47100000000000003
191,1982-83,22.0,DET,NBA,PF,62.0,879.0,12.9,12.0,15.5,13.7,7.8,1.2,2.2,17.9,17.9,0.5,0.9,1.3,0.07200000000000001,-1.6,-0.5,-2.1,0.0,Cliff Levingston,0,0.004,0.544,0.517
192,1982-83,21.0,KCK,NBA,C,71.0,987.0,14.7,14.6,26.5,20.5,4.2,1.8,3.5,21.7,17.3,0.5,1.7,2.3,0.11,-1.9,0.8,-1.1,0.2,LaSalle Thompson,0,0.003,0.47700000000000004,0.551
193,1982-83,25.0,CLE,NBA,PF,53.0,699.0,15.2,11.3,18.2,14.7,10.1,1.3,1.0,15.8,16.4,1.1,0.6,1.7,0.11900000000000001,0.0,0.2,0.2,0.4,Bruce Flowers,0,0.01,0.257,0.569
194,1982-83,22.0,DAL,NBA,PF,44.0,520.0,6.0,8.3,16.7,12.4,7.7,1.1,0.7,16.5,14.3,-0.4,0.3,-0.1,-0.01,-4.8,-1.1,-5.9,-0.5,Corny Thompson,0,0.0,0.336,0.38799999999999996
195,1982-83,22.0,DET,NBA,PG,68.0,757.0,5.3,2.6,7.6,5.0,21.0,1.0,0.1,30.5,15.4,-1.2,0.3,-0.8,-0.054000000000000006,-4.6,-2.1,-6.7,-0.9,Walker Russell,0,0.098,0.315,0.43700000000000006
196,1982-83,22.0,PHO,NBA,SF,49.0,521.0,7.5,6.2,8.9,7.6,9.1,1.7,0.4,19.0,19.8,-0.4,0.7,0.3,0.023,-5.0,-0.4,-5.5,-0.5,David Thirdkill,0,0.040999999999999995,0.45899999999999996,0.475
197,1982-83,26.0,WSB,NBA,C,54.0,558.0,10.4,8.8,14.8,11.8,7.6,1.3,1.3,12.4,16.8,-0.2,0.9,0.7,0.062,-2.5,0.7,-1.8,0.0,Dave Batton,0,0.016,0.08900000000000001,0.44799999999999995
198,1982-83,22.0,TOT,NBA,C,52.0,526.0,10.8,8.6,19.6,14.0,5.0,0.7,3.3,10.2,17.0,-0.1,0.6,0.5,0.043,-2.9,0.2,-2.7,-0.2,Darren Tillis,0,0.006,0.155,0.435
199,1982-83,23.0,KCK,NBA,SG,62.0,606.0,11.5,4.5,8.6,6.5,14.0,1.9,0.3,20.0,17.4,0.5,0.5,1.1,0.084,-1.8,0.2,-1.6,0.1,Brook Steppe,0,0.04,0.568,0.557
200,1982-83,23.0,PHO,NBA,SF,65.0,626.0,14.7,8.7,9.8,9.3,6.9,1.2,0.2,15.3,21.7,0.8,0.7,1.5,0.11800000000000001,0.3,-1.3,-1.1,0.2,Rory White,0,0.004,0.466,0.575
201,1982-83,23.0,POR,NBA,SF,55.0,516.0,11.9,6.5,7.6,7.1,8.9,1.8,0.5,11.6,22.3,0.2,0.4,0.7,0.064,-1.8,-1.0,-2.8,-0.1,Linton Townes,0,0.107,0.162,0.493
202,1982-83,21.0,NJN,NBA,SF,48.0,416.0,7.5,7.4,13.4,10.5,9.2,1.6,1.1,23.4,20.2,-0.6,0.7,0.1,0.011000000000000001,-4.6,-0.1,-4.7,-0.3,Eddie Phillips,0,0.013999999999999999,0.428,0.46399999999999997
203,1982-83,22.0,TOT,NBA,PF-C,23.0,191.0,4.5,8.2,17.2,12.7,6.8,0.7,1.9,27.9,11.0,-0.2,0.2,-0.1,-0.02,-4.4,0.0,-4.4,-0.2,Jim Johnstone,0,0.0,0.667,0.39899999999999997
204,1982-83,22.0,IND,NBA,SG,63.0,515.0,10.5,6.8,7.5,7.1,13.3,3.2,0.8,13.7,23.3,-0.4,0.3,-0.1,-0.006999999999999999,-3.7,-0.5,-4.2,-0.3,Jose Slaughter,0,0.172,0.248,0.426
205,1982-83,25.0,UTA,NBA,SG,44.0,346.0,9.6,4.6,6.6,5.6,14.6,2.6,0.6,19.4,22.2,-0.4,0.3,-0.1,-0.017,-4.0,-0.5,-4.5,-0.2,Rickey Williams,0,0.022000000000000002,0.39299999999999996,0.46399999999999997
206,1982-83,23.0,GSW,NBA,C,54.0,369.0,5.8,12.2,18.5,15.3,3.7,0.9,2.6,19.2,13.3,-0.3,0.3,0.0,-0.006,-6.2,-0.9,-7.1,-0.5,Chris Engler,0,0.0,0.17,0.401
207,1982-83,23.0,DET,NBA,SG,39.0,265.0,5.8,5.8,8.0,6.9,6.7,1.4,0.8,15.0,17.5,-0.3,0.2,-0.1,-0.02,-5.0,-1.0,-5.9,-0.3,Ricky Pierce,0,0.08,0.364,0.41600000000000004
208,1982-83,23.0,PHI,NBA,C,36.0,182.0,7.6,20.6,23.3,22.0,5.1,0.8,0.9,30.1,26.1,-0.5,0.3,-0.2,-0.055999999999999994,-6.7,-1.7,-8.4,-0.4,Mark McNamara,0,0.0,0.703,0.465
209,1982-83,22.0,TOT,NBA,C-PF,31.0,140.0,6.4,12.1,21.6,16.8,2.9,2.1,0.4,16.1,16.8,-0.2,0.3,0.1,0.031,-5.3,0.0,-5.3,-0.2,Scott Hastings,0,0.079,0.526,0.395
210,1982-83,22.0,SAS,NBA,SG,35.0,147.0,14.1,4.6,7.9,6.3,20.5,1.3,0.7,10.0,35.2,0.0,0.1,0.1,0.018000000000000002,-3.1,-1.9,-5.0,-0.1,Oliver Robinson,0,0.113,0.46399999999999997,0.43200000000000005
211,1981-82,22.0,DET,NBA,SF,82.0,3077.0,16.4,7.6,8.2,7.9,12.7,1.3,0.3,15.3,23.3,5.4,2.1,7.5,0.11699999999999999,1.5,-1.3,0.2,1.7,Kelly Tripucka,0,0.017,0.485,0.57
212,1981-82,21.0,NJN,NBA,PF,82.0,2825.0,17.2,13.7,26.6,20.1,5.4,1.4,1.7,18.3,18.2,3.6,5.3,8.9,0.152,0.7,0.0,0.7,1.9,Buck Williams,1,0.001,0.44,0.603
213,1981-82,20.0,DET,NBA,PG,72.0,2433.0,14.5,2.5,7.1,4.7,32.6,2.8,0.4,19.2,25.0,-0.2,2.5,2.3,0.046,-0.3,-0.6,-0.8,0.7,Isiah Thomas,0,0.055,0.402,0.48700000000000004
214,1981-82,22.0,SDC,NBA,PF,81.0,2682.0,15.0,9.1,16.0,12.5,7.9,1.0,1.0,14.9,22.4,2.9,0.4,3.3,0.059000000000000004,-0.2,-2.0,-2.2,-0.1,Tom Chambers,0,0.002,0.434,0.5529999999999999
215,1981-82,22.0,DAL,NBA,PF,81.0,2626.0,18.7,7.7,17.3,12.3,11.5,1.7,0.5,10.6,28.6,3.6,2.0,5.6,0.102,1.7,-1.2,0.5,1.6,Jay Vincent,0,0.003,0.282,0.532
216,1981-82,22.0,DAL,NBA,SF,51.0,1468.0,17.3,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,1.0,0.8,1.9,0.061,2.3,-1.6,0.7,1.0,Mark Aguirre,0,0.087,0.301,0.514
217,1981-82,23.0,IND,NBA,C,82.0,2277.0,16.1,8.2,20.9,14.4,9.2,1.1,4.5,12.8,19.7,0.8,3.8,4.6,0.09699999999999999,-0.5,1.3,0.8,1.6,Herb Williams,0,0.008,0.22,0.503
218,1981-82,23.0,WSB,NBA,C,82.0,2214.0,18.8,12.7,24.7,18.8,9.1,1.0,1.5,20.0,22.4,3.7,4.1,7.8,0.17,0.6,0.7,1.3,1.9,Jeff Ruland,0,0.004,0.607,0.623
219,1981-82,23.0,WSB,NBA,PG,79.0,2027.0,12.0,1.9,6.0,4.0,27.1,1.8,0.2,15.1,21.9,-0.5,2.5,2.1,0.049,-1.6,-0.2,-1.8,0.1,Frank Johnson,0,0.09699999999999999,0.251,0.467
220,1981-82,22.0,DAL,NBA,SF,80.0,1996.0,10.7,7.9,9.4,8.6,13.2,1.8,0.1,14.2,16.8,0.3,1.0,1.4,0.033,-1.5,-0.8,-2.3,-0.2,Elston Turner,0,0.006,0.21600000000000003,0.47200000000000003
221,1981-82,22.0,DAL,NBA,SG,82.0,1979.0,16.2,5.4,9.4,7.3,8.3,1.1,0.9,10.4,22.7,3.2,0.8,4.1,0.098,1.8,-1.6,0.2,1.1,Rolando Blackman,0,0.005,0.32299999999999995,0.5589999999999999
222,1981-82,24.0,KCK,NBA,C,78.0,1741.0,17.6,9.5,20.3,14.8,7.7,1.1,3.0,20.0,23.1,2.2,2.2,4.4,0.121,-1.1,0.5,-0.7,0.6,Steve Johnson,0,0.0,0.512,0.635
223,1981-82,22.0,NJN,NBA,SF,76.0,1694.0,13.5,6.9,14.0,10.4,12.8,1.8,1.2,16.9,25.1,-0.2,2.6,2.4,0.067,-1.9,0.2,-1.7,0.1,Albert King,0,0.016,0.21100000000000002,0.517
224,1981-82,22.0,SAS,NBA,SF,80.0,1700.0,14.7,9.9,16.0,13.0,11.5,1.5,0.5,12.5,19.9,1.9,1.6,3.5,0.099,0.0,-0.7,-0.7,0.6,Gene Banks,0,0.012,0.325,0.515
225,1977-78,22.0,ATL,NBA,SG,79.0,1875.0,13.6,2.9,6.1,4.4,18.9,2.5,0.1,17.8,20.2,1.8,1.8,3.5,0.091,-0.7,0.0,-0.7,0.6,Eddie Johnson,1,,0.293,0.535
226,1981-82,23.0,ATL,NBA,SF,79.0,1516.0,9.3,8.4,11.2,9.8,4.6,1.3,0.8,16.7,19.2,-0.4,1.8,1.4,0.043,-3.5,-0.6,-4.1,-0.8,Rudy Macklin,0,0.006,0.35700000000000004,0.495
227,1981-82,23.0,LAL,NBA,PF,64.0,1131.0,12.8,11.6,21.5,16.8,5.6,2.5,3.6,21.6,12.5,0.3,2.1,2.3,0.1,-2.0,1.9,-0.1,0.5,Kurt Rambis,0,0.004,0.513,0.528
228,1981-82,23.0,DAL,NBA,C,63.0,1085.0,12.0,9.4,22.1,15.5,7.7,0.8,4.4,14.0,15.2,0.3,1.2,1.5,0.067,-2.9,0.9,-2.0,0.0,Kurt Nimphius,0,0.0,0.364,0.489
229,1981-82,22.0,POR,NBA,PG,82.0,1387.0,13.1,3.9,8.1,6.0,24.9,3.2,0.1,19.0,19.8,0.3,1.4,1.7,0.059000000000000004,-2.0,0.5,-1.6,0.2,Darnell Valentine,0,0.02,0.442,0.486
230,1981-82,23.0,SDC,NBA,SG,63.0,1027.0,13.0,6.9,7.0,7.0,20.6,2.3,0.7,17.2,19.2,0.6,0.2,0.8,0.035,-0.2,-0.8,-1.0,0.3,Jim Brogan,0,0.08800000000000001,0.231,0.499
231,1981-82,25.0,SDC,NBA,SG,64.0,1031.0,12.1,3.0,7.5,5.2,19.6,2.2,0.5,17.5,20.8,0.3,0.2,0.5,0.022000000000000002,-1.5,-1.1,-2.5,-0.1,John Douglas,0,0.152,0.262,0.515
232,1981-82,22.0,KCK,NBA,SF,71.0,1139.0,12.9,6.6,12.8,9.6,10.7,1.4,1.5,,20.2,0.4,1.1,1.5,0.062,-1.2,-0.2,-1.4,0.2,Kevin Loder,0,,,
233,1981-82,22.0,CHI,NBA,SF,75.0,1188.0,13.4,8.2,13.3,10.8,10.1,0.9,1.1,18.1,20.9,1.0,0.8,1.8,0.073,-1.1,-0.9,-2.1,0.0,Orlando Woolridge,0,0.008,0.523,0.565
234,1981-82,23.0,MIL,NBA,C,80.0,1186.0,11.5,10.9,26.0,18.7,9.2,0.7,5.8,27.4,16.3,-0.9,2.6,1.7,0.071,-4.3,2.7,-1.6,0.1,Alton Lister,0,0.0,0.429,0.531
235,1981-82,22.0,PHO,NBA,PF,80.0,1186.0,14.7,9.1,14.7,11.9,10.0,1.7,3.4,17.6,20.6,0.3,2.1,2.4,0.098,-1.5,1.3,-0.2,0.5,Larry Nance,1,0.002,0.268,0.5429999999999999
236,1981-82,23.0,SEA,NBA,SF,77.0,1075.0,11.2,7.4,12.4,10.0,6.9,1.3,1.1,17.2,15.2,0.8,1.5,2.4,0.106,-2.1,0.5,-1.6,0.1,Danny Vranes,1,0.004,0.565,0.573
237,1981-82,25.0,SAS,NBA,SF,49.0,637.0,8.2,6.2,7.2,6.7,7.7,1.3,0.2,10.9,14.4,0.2,0.4,0.6,0.043,-2.9,-0.8,-3.8,-0.3,Ed Rains,0,0.011000000000000001,0.36200000000000004,0.46799999999999997
