,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive
261,1994-95,23.0,BOS,NBA,C,78.0,2315.0,12.1,0.565,0.002,0.457,9.6,18.7,14.1,2.3,0.6,1.8,14.0,15.0,2.3,1.8,4.1,0.084,-1.9,-1.1,-3.0,-0.6,Eric Montross,0
262,1994-95,21.0,TOT,NBA,SF,72.0,2086.0,12.5,0.465,0.27699999999999997,0.253,7.6,15.0,11.3,8.6,1.1,3.0,10.6,22.9,-0.9,1.2,0.3,0.006999999999999999,-1.6,-1.6,-3.2,-0.7,Donyell Marshall,0
263,1994-95,22.0,SAC,NBA,PF,80.0,2289.0,16.5,0.546,0.005,0.449,10.7,19.5,15.2,7.4,1.1,3.8,14.4,22.0,1.9,3.4,5.3,0.11199999999999999,-0.8,0.6,-0.2,1.0,Brian Grant,0
264,1994-95,22.0,PHI,NBA,C,79.0,2044.0,14.0,0.502,0.01,0.363,10.8,16.1,13.5,4.1,1.0,3.7,14.4,23.0,-0.2,1.9,1.7,0.04,-2.5,-1.2,-3.7,-0.9,Sharone Wright,0
265,1994-95,23.0,PHO,NBA,SG,78.0,1800.0,14.2,0.596,0.41700000000000004,0.158,4.3,8.6,6.4,8.6,1.3,1.0,10.4,18.3,3.0,0.8,3.8,0.10099999999999999,1.3,-1.3,0.0,0.9,Wesley Person,0
266,1994-95,22.0,GSW,NBA,C,66.0,1494.0,11.5,0.49,0.018000000000000002,0.39,14.7,21.4,18.0,4.4,1.1,1.8,16.3,15.4,0.1,1.2,1.3,0.043,-3.0,-1.4,-4.3,-0.9,Clifford Rozier,0
267,1994-95,22.0,DEN,NBA,SF,81.0,1798.0,15.1,0.55,0.228,0.46799999999999997,3.9,10.4,7.2,33.3,1.9,0.9,21.0,19.1,2.4,1.5,3.8,0.10300000000000001,0.7,-0.2,0.5,1.1,Jalen Rose,0
268,1994-95,22.0,MIA,NBA,PG,67.0,1462.0,16.9,0.561,0.368,0.42200000000000004,4.1,11.0,7.5,30.2,2.7,0.5,19.3,20.6,2.1,1.4,3.5,0.115,1.8,0.1,1.9,1.4,Khalid Reeves,0
269,1989-90,24.0,BOS,NBA,PF,65.0,620.0,14.2,0.52,0.098,0.22399999999999998,7.5,10.2,8.9,18.6,0.7,0.1,14.7,25.0,0.3,0.4,0.7,0.055,-0.8,-2.5,-3.3,-0.2,Michael Smith,0
270,1994-95,23.0,GSW,NBA,C,49.0,1017.0,14.3,0.542,0.040999999999999995,0.429,11.7,18.7,15.1,5.8,1.1,3.5,17.2,20.3,0.1,0.8,0.9,0.045,-2.3,-1.1,-3.3,-0.3,Carlos Rogers,0
271,1994-95,27.0,NJN,NBA,PG,53.0,1021.0,11.2,0.495,0.44799999999999995,0.262,1.5,5.9,3.7,33.8,2.1,0.2,19.6,16.7,0.5,0.8,1.2,0.057999999999999996,-1.9,-0.3,-2.2,-0.1,Chris Childs,0
272,1994-95,22.0,POR,NBA,SG,45.0,827.0,13.3,0.5,0.107,0.28,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17.0,0.8,1.2,2.0,0.115,-1.4,1.7,0.3,0.5,Aaron McKie,0
273,1994-95,22.0,GSW,NBA,SG,37.0,672.0,12.9,0.52,0.063,0.395,3.9,7.8,5.8,23.1,2.0,0.1,17.9,20.0,0.2,0.2,0.4,0.032,-1.4,-1.1,-2.4,-0.1,Ryan Lorthridge,0
274,1994-95,22.0,PHI,NBA,C,64.0,1032.0,11.6,0.48100000000000004,0.016,0.465,11.0,13.8,12.4,5.1,2.0,2.5,14.6,15.7,0.0,1.0,1.0,0.045,-2.5,-0.1,-2.6,-0.2,Derrick Alston,0
275,1994-95,25.0,WSB,NBA,SF,62.0,982.0,9.2,0.493,0.005,0.395,5.0,15.3,10.0,9.9,2.4,0.8,18.5,13.5,-0.2,0.9,0.6,0.03,-3.8,0.7,-3.1,-0.3,Anthony Tucker,0
276,1994-95,23.0,BOS,NBA,SG,63.0,945.0,14.7,0.562,0.04,0.259,5.9,10.9,8.4,10.9,1.7,1.2,11.6,17.4,1.4,0.6,2.1,0.106,0.0,0.1,0.2,0.5,Greg Minor,0
277,1994-95,24.0,LAC,NBA,SG,81.0,1208.0,13.9,0.5589999999999999,0.434,0.252,5.8,7.3,6.5,10.6,1.6,0.9,11.1,20.5,1.6,0.4,2.0,0.079,0.8,-1.3,-0.5,0.4,Eric Piatkowski,0
278,1994-95,23.0,PHI,NBA,PG,55.0,809.0,8.5,0.462,0.27,0.265,1.9,7.1,4.5,32.8,2.3,0.2,31.5,17.0,-1.2,0.5,-0.7,-0.039,-3.2,-1.9,-5.0,-0.6,B.J. Tyler,0
279,1994-95,24.0,MIL,NBA,C,46.0,587.0,14.3,0.593,0.015,0.341,10.9,20.7,15.7,5.7,0.7,3.4,13.7,13.3,0.8,0.5,1.3,0.107,-0.8,-0.3,-1.2,0.1,Eric Mobley,0
280,1994-95,23.0,NYK,NBA,SF,41.0,503.0,8.4,0.45799999999999996,0.06,0.28600000000000003,10.2,12.6,11.4,15.3,2.1,0.6,21.5,17.4,-0.5,0.8,0.3,0.032,-4.9,1.1,-3.8,-0.2,Monty Williams,0
281,1994-95,23.0,LAL,NBA,PF,46.0,527.0,14.7,,,,14.1,17.8,15.9,9.6,1.9,0.9,,16.6,0.6,0.6,1.2,0.111,-1.3,-0.8,-2.1,0.0,Anthony Miller,0
282,1994-95,22.0,TOT,NBA,PG,49.0,552.0,6.1,0.43,0.303,0.32799999999999996,2.7,7.8,5.3,26.4,1.7,0.8,26.4,15.6,-0.7,0.2,-0.5,-0.044000000000000004,-5.3,-1.4,-6.8,-0.7,Howard Eisley,0
283,1994-95,22.0,DET,NBA,PF,53.0,595.0,9.0,0.47700000000000004,0.0,0.26899999999999996,10.6,13.9,12.2,6.2,1.8,2.6,14.3,13.2,0.1,0.4,0.5,0.042,-5.0,-0.2,-5.2,-0.5,Bill Curley,0
284,1994-95,22.0,UTA,NBA,SF,60.0,673.0,9.6,0.552,0.125,0.368,3.1,10.2,6.9,12.4,2.7,1.3,22.4,15.3,-0.1,0.9,0.8,0.055,-3.1,1.6,-1.6,0.1,Jamie Watson,0
285,1994-95,22.0,DAL,NBA,SG,58.0,613.0,8.8,0.465,0.292,0.308,5.3,5.6,5.5,14.2,1.1,0.4,15.0,22.5,-0.2,0.2,0.0,0.0,-3.2,-1.5,-4.8,-0.4,Tony Dumas,0
286,1994-95,22.0,CHI,NBA,PF,59.0,586.0,11.0,,,,12.1,18.3,15.2,9.4,0.9,0.9,,19.8,-0.1,0.8,0.7,0.057999999999999996,-3.6,-1.4,-4.9,-0.4,Dickey Simpkins,0
287,1994-95,22.0,WSB,NBA,C,55.0,534.0,10.0,0.539,0.0,0.5770000000000001,8.3,14.5,11.3,2.5,1.0,7.9,17.6,8.8,0.3,0.6,0.8,0.07400000000000001,-4.4,2.0,-2.3,0.0,Jim McIlvaine,0
288,1994-95,23.0,GSW,NBA,PG,41.0,395.0,11.0,0.502,0.19399999999999998,0.659,5.8,10.5,8.1,6.7,1.4,2.6,14.0,20.7,0.0,0.2,0.2,0.025,-2.5,-0.9,-3.5,-0.1,Dwayne Morton,0
