,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive
260,2002-03,21.0,TOT,NBA,SF-PF,70.0,1873.0,15.0,0.503,0.062,0.273,9.8,17.7,13.7,7.8,1.5,1.3,14.7,24.5,0.4,1.3,1.7,0.043,-1.1,-1.9,-3.0,-0.4,Drew Gooden,0
261,2002-03,21.0,CHI,NBA,PG,75.0,1961.0,12.2,0.47200000000000003,0.295,0.235,1.5,9.3,5.5,29.2,2.3,0.6,18.4,21.0,-0.5,1.3,0.8,0.02,-1.3,-0.8,-2.0,0.0,Jay Williams,0
262,2002-03,21.0,CLE,NBA,PF,81.0,2049.0,17.9,0.5770000000000001,0.002,0.311,10.8,22.7,16.6,9.3,1.5,1.7,12.8,17.1,4.2,1.8,5.9,0.139,0.6,-0.6,0.0,1.0,Carlos Boozer,0
263,2002-03,22.0,DEN,NBA,PG,82.0,2003.0,6.4,0.405,0.06,0.24,2.4,12.6,7.3,23.2,2.1,0.6,23.3,15.0,-2.8,2.4,-0.4,-0.009000000000000001,-6.0,0.9,-5.1,-1.6,Junior Harrington,0
264,2002-03,22.0,BOS,NBA,PG,64.0,1503.0,12.7,0.515,0.616,0.239,1.3,9.8,5.5,19.2,1.3,0.2,10.3,17.7,1.8,1.2,3.0,0.096,0.0,-0.5,-0.5,0.6,J.R. Bremer,0
265,2002-03,21.0,DEN,NBA,SG,59.0,1381.0,9.5,0.446,0.182,0.145,2.9,11.2,6.8,16.8,2.2,1.9,15.1,17.3,-0.7,1.7,1.0,0.035,-3.3,0.9,-2.4,-0.1,Vincent Yarbrough,0
266,2002-03,23.0,MIA,NBA,SG,72.0,1514.0,9.5,0.43700000000000006,0.299,0.182,2.1,12.3,7.1,11.4,0.8,2.2,11.1,21.6,-1.4,1.4,0.1,0.002,-1.9,-0.6,-2.5,-0.2,Rasual Butler,0
267,2002-03,22.0,SEA,NBA,PF,67.0,1365.0,10.4,0.51,0.0,1.1,14.2,24.3,19.2,3.7,1.5,0.6,20.0,8.9,1.3,1.7,3.0,0.105,-2.4,-0.3,-2.8,-0.3,Reggie Evans,0
268,2002-03,23.0,DET,NBA,PF,72.0,1366.0,14.8,0.514,0.265,0.31,10.0,19.2,14.5,9.5,1.0,2.1,12.1,19.3,1.7,2.1,3.8,0.134,-0.6,0.0,-0.5,0.5,Mehmet Okur,0
269,2002-03,21.0,CLE,NBA,PG,66.0,1103.0,11.3,0.523,0.349,0.349,2.9,9.3,6.0,24.7,2.2,0.8,25.4,20.6,-0.4,0.5,0.1,0.005,-2.2,-1.2,-3.4,-0.4,Smush Parker,0
270,2002-03,25.0,MEM,NBA,PF,75.0,1248.0,12.2,0.47600000000000003,0.17300000000000001,0.188,7.5,15.6,11.6,6.9,1.7,0.9,12.0,20.7,0.0,0.7,0.8,0.028999999999999998,-2.1,-1.4,-3.5,-0.5,Mike Batiste,0
271,2002-03,19.0,DEN,NBA,SF,81.0,1320.0,4.9,0.374,0.387,0.165,5.4,10.8,8.0,11.6,1.2,1.8,16.6,17.0,-2.3,1.3,-1.0,-0.035,-4.9,-0.7,-5.5,-1.2,Nikoloz Tskitishvili,0
272,1976-77,22.0,PHI,NBA,PG,32.0,359.0,11.9,0.467,,0.31,2.9,6.3,4.7,21.7,1.6,0.3,,,-0.1,0.3,0.2,0.023,-3.7,-0.9,-4.6,-0.3,Mike Dunleavy,0
273,2002-03,21.0,PHO,NBA,SF,72.0,1147.0,9.2,0.493,0.505,0.321,2.8,5.4,4.1,9.8,1.6,0.4,12.8,16.7,0.5,0.7,1.2,0.051,-1.9,-0.3,-2.3,-0.1,Casey Jacobsen,0
274,2002-03,24.0,MIL,NBA,C,49.0,760.0,11.2,0.498,0.006999999999999999,0.386,10.1,20.3,15.2,1.8,1.5,5.1,13.7,12.0,0.4,0.7,1.2,0.075,-3.6,0.1,-3.5,-0.3,Dan Gadzuric,0
275,2002-03,24.0,WAS,NBA,PG,42.0,647.0,11.0,0.46399999999999997,0.31,0.17,2.4,10.8,6.6,11.3,2.2,0.3,12.6,24.3,-0.5,0.5,0.1,0.005,-2.6,-1.2,-3.8,-0.3,Juan Dixon,0
276,2002-03,24.0,LAC,NBA,C,52.0,802.0,10.8,0.54,0.0,0.39799999999999996,9.1,15.4,12.3,3.1,0.7,2.8,18.6,15.1,0.4,0.4,0.8,0.048,-3.1,-1.1,-4.2,-0.4,Melvin Ely,0
